frame.number,frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.ttl,tcp.flags
"1","1411630533.169915000","76","37.187.65.250","37.187.81.8","33708","25","62","2"
"2","1411630533.169945000","56","37.187.81.8","37.187.65.250","25","33708","64","20"
"3","1411630533.176335000","76","37.187.65.250","37.187.81.8","56417","53","62","2"
"4","1411630533.176358000","76","37.187.81.8","37.187.65.250","53","56417","64","18"
"5","1411630533.176617000","68","37.187.65.250","37.187.81.8","56417","53","62","16"
"6","1411630533.177158000","68","37.187.65.250","37.187.81.8","56417","53","62","20"
"7","1411630533.183895000","76","37.187.65.250","37.187.81.8","40893","3389","62","2"
"8","1411630533.183931000","56","37.187.81.8","37.187.65.250","3389","40893","64","20"
"9","1411630533.193538000","76","37.187.65.250","37.187.81.8","44052","443","62","2"
"10","1411630533.193564000","76","37.187.81.8","37.187.65.250","443","44052","64","18"
"11","1411630533.193816000","68","37.187.65.250","37.187.81.8","44052","443","62","16"
"12","1411630533.193876000","68","37.187.65.250","37.187.81.8","44052","443","62","20"
"13","1411630533.209808000","76","37.187.65.250","37.187.81.8","33020","22","62","2"
"14","1411630533.209987000","76","37.187.81.8","37.187.65.250","22","33020","64","18"
"15","1411630533.210313000","68","37.187.65.250","37.187.81.8","33020","22","62","16"
"16","1411630533.210349000","68","37.187.65.250","37.187.81.8","33020","22","62","20"
"17","1411630533.251626000","76","37.187.65.250","37.187.81.8","60214","80","62","2"
"18","1411630533.251657000","76","37.187.81.8","37.187.65.250","80","60214","64","18"
"19","1411630533.252130000","68","37.187.65.250","37.187.81.8","60214","80","62","16"
"20","1411630533.252177000","68","37.187.65.250","37.187.81.8","60214","80","62","20"
"21","1411630543.375637000","76","86.12.80.86","37.187.81.8","32908","22898","54","2"
"22","1411630543.375679000","56","37.187.81.8","86.12.80.86","22898","32908","64","20"
"23","1411630602.408157000","76","86.12.80.86","37.187.81.8","53706","22898","54","2"
"24","1411630602.408193000","56","37.187.81.8","86.12.80.86","22898","53706","64","20"
"25","1411630636.100731000","64","98.126.130.82","37.187.81.8","44738","5038","116","2"
"26","1411630636.100760000","56","37.187.81.8","98.126.130.82","5038","44738","64","20"
"27","1411630662.412813000","76","86.12.80.86","37.187.81.8","34744","22898","54","2"
"28","1411630662.412841000","56","37.187.81.8","86.12.80.86","22898","34744","64","20"
"29","1411630722.432903000","76","86.12.80.86","37.187.81.8","51577","22898","54","2"
"30","1411630722.432939000","56","37.187.81.8","86.12.80.86","22898","51577","64","20"
"31","1411630779.129148000","56","60.173.14.166","37.187.81.8","6000","9064","106","2"
"32","1411630779.129185000","56","37.187.81.8","60.173.14.166","9064","6000","64","20"
